CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
c57cd79e9773493a62b268f56247933ee2d0d4622f1286c56c8ca6bf2354b7d69f3e64fef520a656ed395f60448716aae80ef35d31ddf83d541656721787da25,,2/14/2022 23:47,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2/14/2022 23:47,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,213,S,STATE ST,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,23,2,2,41.87915799,-87.62755671,POINT (-87.627556712986 41.879157991038)
cc0e4375f08ec78de5863a14113d7d0bc9fc73f4f99fc9d2cdcb0bb6af6b9f8e6561f306e058c070e96e3a9f819dd2bf1e0d078240d5373ce9ecabcde4ca0cca,,3/22/2023 19:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",3/22/2023 20:29,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3003,E,80TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,3,41.75000405,-87.55137517,POINT (-87.551375168976 41.750004046992)
d4a653b51834c66eb2e6bd98ebd7a6531b16d6dcfbc17c5974adb26425bd99da131f52ece9f7823df1f42c923f54a3a471b156bfc0cdfad61cc1c2f27acab315,,2/26/2023 10:22,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",2/26/2023 10:23,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,2459,E,79TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,1,2,41.75165329,-87.56386511,POINT (-87.563865109983 41.751653287983)
f8fdf4bafab7f18fd21f53e19153af7d395a8e1e1b207413c838ea09dd584f88e87a814e7fc7cc728c9393739b7c0eb73eda56519941e917a7650edc4a14a110,,3/26/2017 7:30,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",3/26/2017 7:51,EXCEEDING SAFE SPEED FOR CONDITIONS,UNABLE TO DETERMINE,2459,E,79TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,1,3,41.75165329,-87.56386511,POINT (-87.563865109983 41.751653287983)
faef099c3a38070c5d4b0e0acf9d582c58d9c2e48384acfbf0b0f0a89f4dd5fec08e1b1bab86faaf946f5891e206bdefe9e6339d23a73644be1e8e0015b18480,,2/25/2017 22:47,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",2/25/2017 23:00,IMPROPER BACKING,NOT APPLICABLE,340,S,PLYMOUTH CT,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,7,2,41.87706933,-87.628865,POINT (-87.628864995003 41.877069327002)
ab738758b321224ec23bfe9615bae71931c33a6aa6ce434183d6a9be1ccbadffd7c263b95e105c8888300ef65d800574bfa0b34265e79d1439938cf233a1ac0f,,11/24/2023 11:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/24/2023 11:30,IMPROPER OVERTAKING/PASSING,FAILING TO YIELD RIGHT-OF-WAY,60,W,CONGRESS PKWY,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,6,11,41.87573117,-87.62974885,POINT (-87.629748850982 41.875731170399)
fd090f25567d0caf47c087194700977b079bc19ce4e6662fee063d6366fc85f8de813a0ac4091c7c081d0dd53421d688fcf94602b5968f22f4272f85857c281f,Y,11/11/2023 17:30,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ANGLE,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/12/2023 9:45,UNABLE TO DETERMINE,NOT APPLICABLE,7900,S,EXCHANGE AVE,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,7,11,41.7518179,-87.55304422,POINT (-87.553044223671 41.751817898773)
6d4f6d1bdd3fbac7c66c8412e464812f8d3996d1ad5bedd51fb1ef61dce0407cd1a57c5d00c186a7d47c06b5292148caa0df542a282942970c6ea397153ee25a,,10/25/2023 9:17,30,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,N,"OVER $1,500",10/25/2023 9:31,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,407,S,DEARBORN ST,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,4,10,41.87669951,-87.62911067,POINT (-87.62911066502 41.876699511547)
8a78e96a7acf605cb0edc7ae68c5a6c429fac70572e7b3b08c4dabf259c12a7a59c44cfdbad674bfa61b5d2c1a9c15bcf5de3a208b724ad290aff64f6866435a,,11/12/2023 18:20,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/12/2023 20:05,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,302,S,WABASH AVE,113,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,1,11,41.87813584,-87.62622865,POINT (-87.626228645323 41.878135837615)
9f7b7dd6d84a7cb37ee5caa0601bf6b8edd5fcbf6c1fffff52d83044d8b37b69054d1a0818f16a47b743c2583e96a289b5aa74859347ca8e229f165890219246,,11/12/2023 21:02,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/12/2023 22:00,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",NOT APPLICABLE,420,S,WABASH AVE,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,1,11,41.87644369,-87.62619144,POINT (-87.626191436373 41.876443689687)
f68e3aea3b5324f3d1d9f66d5f6505f4f315b6d34dcb29edd6ee5295325e58620272fa2246805ad2b6b948e80a743ffb59ed20954304b6f2c1dcab2e4dddd1f5,,11/26/2023 13:29,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/26/2023 13:31,UNABLE TO DETERMINE,NOT APPLICABLE,8100,S,MUSKEGON AVE,422,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,1,11,41.74814902,-87.55540026,POINT (-87.555400262819 41.748149020716)
a7480bd22c06e4d971b60da7e3be59a71ea991dd7a231b4fe1b79e6bf4d9929fa5ac94d65a5e978767fa3ab35e578c43e62285fecec7a11eb7353d72499fa295,,11/13/2023 10:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/13/2023 11:09,FOLLOWING TOO CLOSELY,NOT APPLICABLE,298,S,MICHIGAN AVE,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,10,2,11,41.87834487,-87.62445364,POINT (-87.624453640106 41.878344870377)
599f2878020bfd847f01383ea036bbad5430f29fa8bd6f9af140ab4339ac31c9940ee2676781a049ccd348f75d2a499a6611dc56cb307b8bb5bce8d842753e8c,,12/25/2023 12:39,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",12/25/2023 12:39,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,2513,E,79TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,8,0,12,2,12,41.75166069,-87.56324159,POINT (-87.563241588625 41.751660691523)
9d88632ada0f52e3a695ad84e64740720bcec87779cd53b6e163cc4eba93a77fdba263d3b7e86f3d96188c0e214a559ac8dc1e158343795f2eb11e86057095a4,,12/27/2023 11:19,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",12/27/2023 11:19,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,8133,S,SOUTH SHORE DR,422,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,0,0,11,4,12,41.7473492,-87.54781353,POINT (-87.547813532787 41.747349197983)
0132911ef56c4ccd68ff4e0c23f345706117a274fe224c549965138bb17865c4f8878bc86988cd5dafddeaa41492ad8c56a3ff18ac0239879e70b314e6227f58,,11/11/2023 1:20,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2023 1:20,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8045,S,LAKE SHORE DR,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,7,11,41.74927722,-87.54072332,POINT (-87.540723314523 41.749277214638)
beb50d0ea0f2e51acc616fa247d1288d75dbc983738530b563c84fe34caa460376bc6a4d324b83aab0b40614beba4c6aa1c37f90fd188ae8dcbe56fd24d00f0a,,11/14/2023 15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/14/2023 16:10,FOLLOWING TOO CLOSELY,DISTRACTION - FROM INSIDE VEHICLE,25,W,JACKSON BLVD,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,3,11,41.87806522,-87.62862119,POINT (-87.628621191172 41.878065217113)
b4a62b72f870295d42913105840a65d090e443a7e3830da18cea6f5380c63b33ae687d87ea600c436ac26b3ce3b6d8b7e9742294b9f94a115ae9c8ce500686bf,,12/14/2023 18:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",12/14/2023 18:25,IMPROPER LANE USAGE,NOT APPLICABLE,8018,S,EXCHANGE AVE,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,12,41.74954067,-87.5530007,POINT (-87.553000697712 41.749540672238)
